date,open,high,low,close,volume,changed,changep,adjclose,tradeval,tradevol
2019-10-31,304.13,304.13,301.73,303.33,68955393,-0.81,-0.27%,303.33,20865525632.22,319142
2019-10-30,303.43,304.55,301.99,304.14,49542312,0.93,0.31%,304.14,15020665950.02,282670
2019-10-29,303.0001,304.23,302.86,303.21,44201626,-0.09,-0.03%,303.21,13413485672.78,219958
2019-10-28,302.94,303.85,302.91,303.30,42076051,1.70,0.56%,303.30,12766333806.71,215030
2019-10-25,299.74,302.20,299.6806,301.60,45145150,1.23,0.41%,301.60,13609911620.95,214969
2019-10-24,300.91,301.07,299.4601,300.37,35688865,0.49,0.16%,300.37,10712564436.85,210922
2019-10-23,298.73,299.94,298.495,299.88,34857719,0.87,0.29%,299.88,10432562571.44,191180
2019-10-22,300.58,300.90,298.91,299.01,49028214,-0.98,-0.33%,299.01,14712839968.10,226798
2019-10-21,299.42,300.21,298.935,299.99,39388285,2.02,0.68%,299.99,11805848339.14,193740
2019-10-18,298.69,299.395,296.99,297.97,64293228,-1.31,-0.44%,297.97,19181866121.64,278967
2019-10-17,299.68,300.24,298.515,299.28,46676445,0.88,0.29%,299.28,13972425262.11,242490
2019-10-16,298.37,299.16,297.92,298.40,50293197,-0.48,-0.16%,298.40,15008183578.28,242737
2019-10-15,297.10,299.70,296.97,298.88,48123837,2.93,0.99%,298.88,14381049678.29,261706
2019-10-14,295.93,296.67,295.57,295.95,40467320,-0.33,-0.11%,295.95,11983957383.37,191511
2019-10-11,296.27,298.74,296.1448,296.28,101099695,3.04,1.04%,296.28,30071234314.87,503159
2019-10-10,291.18,294.21,291.00,293.24,56772153,1.97,0.68%,293.24,16631730761.80,333702
2019-10-09,290.75,292.30,288.6559,291.27,64341784,2.74,0.95%,291.27,18735164523.05,291131
2019-10-08,291.04,291.85,288.49,288.53,101367099,-4.55,-1.55%,288.53,29374251205.95,494813
2019-10-07,293.47,295.26,292.77,293.08,60549809,-1.27,-0.43%,293.08,17792802302.34,313814
2019-10-04,291.14,294.63,290.82,294.35,66737063,3.93,1.35%,294.35,19558715542.53,304869
2019-10-03,287.81,290.45,284.82,290.42,85718095,2.36,0.82%,290.42,24688822306.51,517393
2019-10-02,291.50,291.51,286.64,288.06,124208927,-5.18,-1.77%,288.06,35808753982.85,608099
2019-10-01,297.74,298.455,293.00,293.24,89425082,-3.53,-1.19%,293.24,26347447925.21,421843
2019-09-30,295.97,297.55,295.92,296.77,52438861,1.37,0.46%,296.77,15566025542.91,258345
2019-09-27,297.83,297.9465,293.69,295.40,84755721,-1.60,-0.54%,295.40,25046266175.67,454752
2019-09-26,297.63,297.86,295.45,297.00,58594707,-0.62,-0.21%,297.00,17385808602.73,329081
2019-09-25,295.96,298.11,294.33,297.62,73267803,1.75,0.59%,297.62,21723530509.85,355607
2019-09-24,299.41,299.84,294.81,295.87,97160127,-2.34,-0.78%,295.87,28811865615.14,519116
2019-09-23,297.55,299.00,297.27,298.21,47134009,-0.07,-0.02%,298.21,14056286064.52,220089
2019-09-20,300.36,300.67,297.41,298.28,96939851,-1.416,-0.47%,298.28,28987014057.91,374339
2019-09-19,301.53,302.63,300.7103,301.08,77933334,-0.02,-0.01%,299.6962,23513827554.94,293172
2019-09-18,300.49,301.22,298.24,301.10,73875018,0.179,0.06%,299.7161,22139733573.45,419275
2019-09-17,299.94,301.02,299.75,300.92,42770135,0.757,0.25%,299.537,12844201169.93,245663
2019-09-16,299.84,301.1378,299.45,300.16,57934320,-0.926,-0.31%,298.7805,17383915214.90,284283
2019-09-13,301.78,302.17,300.68,301.09,62053458,-0.199,-0.07%,299.7062,18703726941.05,251055
2019-09-12,301.25,302.46,300.41,301.29,72546530,1.035,0.35%,299.9053,21870586293.77,373678
2019-09-11,298.47,300.34,297.75,300.25,68008165,2.11,0.71%,298.8701,20357331863.22,268502
2019-09-10,297.36,298.20,295.97,298.13,57698673,-0.07,-0.02%,296.7598,17126215264.97,299436
